Serial | Name | Image file
--- | --- | ---
001 | Lumina IVF | images/001_Lumina_IVF.png
002 | Prime TG Diagnostic Ltd | images/002_Prime_TG_Diagnostic_Ltd.png
003 | Graduate General Hospital | images/003_Graduate_General_Hospital.jpg
004 | The Lab Aid Diagnostic center (Habiganj) | images/004_The_Lab_Aid_Diagnostic_center_Habiganj.png
005 | Aiyaat Medical Service | images/005_Aiyaat_Medical_Service.png
006 | Active Diagnostic & Blood Bank | images/006_Active_Diagnostic_and_Blood_Bank.jpg
007 | Medicure Diagnostic Center | images/007_Medicure_Diagnostic_Center.png
008 | Prime Diagnostic Center | images/008_Prime_Diagnostic_Center.jpg
009 | Al-Aksa health care & Diagnostic | images/009_Al_Aksa_health_care_and_Diagnostic.jpg
010 | Apollo Plus Medical Service | images/010_Apollo_Plus_Medical_Service.png
011 | Lab Aid Hospital (Bhairab) | NO LOGO IMAGE FOUND IN DOCX
012 | PBC & Diagnostic Center | images/012_PBC_and_Diagnostic_Center.jpg
013 | NurMyran Community Development Centre | images/013_NurMyran_Community_Development_Centre.jpg
014 | Vital Diagnostic Centre | images/014_Vital_Diagnostic_Centre.jpg
